WKT,id,id_poligon,se_inunda_,con_que_fr,provinicia,departamen,localidad
"MULTIPOLYGON (((-58.2143471291028 -26.2199530868835,-58.2132678708971 -26.2189249124508,-58.2124189527699 -26.2184193481019,-58.21191 -26.218202,-58.210982 -26.218694,-58.2117790166929 -26.2186614916535,-58.212575 -26.219125,-58.2135402582056 -26.2201280771377,-58.2143471291028 -26.2199530868835)))","1","17325","SÍ, SÓLO EN UN SECTOR DEL BARRIO",SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Formosa,Formosa,Formosa
"MULTIPOLYGON (((-58.2179226698168 -26.2092584003946,-58.2200152561458 -26.2037898846083,-58.2194674176553 -26.2038326865085,-58.218947810129 -26.2037211901894,-58.218888 -26.204343,-58.2183626077814 -26.2053971437224,-58.218106 -26.205912,-58.2184509925514 -26.2076616878627,-58.217725 -26.209195,-58.2179226698168 -26.2092584003946)))","2","17322","SÍ, SÓLO EN UN SECTOR DEL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Formosa,Formosa,Formosa
"MULTIPOLYGON (((-58.2334597447517 -26.2032239116216,-58.2330780486096 -26.2041470664554,-58.234624085 -26.204715812,-58.2355109229999 -26.204996287,-58.2355719719999 -26.2048782,-58.2357920768874 -26.2043956307624,-58.2355450237146 -26.2043008661955,-58.2357106933368 -26.2039012425633,-58.2350769559999 -26.2037040049003,-58.234516788 -26.2035093709999,-58.2340849914674 -26.2033829886746,-58.2334597447517 -26.2032239116216)))","3","18578","SÍ, TODO EL BARRIO",SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Formosa,Formosa,Formosa
"MULTIPOLYGON (((-58.2764032110572 -26.2774154280508,-58.2755465805531 -26.2794747186338,-58.2765416800976 -26.279533640863,-58.2771723344922 -26.2780245008671,-58.2764032110572 -26.2774154280508)))","4","12001","SÍ, SÓLO EN UN SECTOR DEL BARRIO",SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Formosa,Formosa,Villa del Carmen
"MULTIPOLYGON (((-58.2777912542224 -26.278510614439,-58.277150541544 -26.2799409850478,-58.2777496799827 -26.280085884996,-58.2784514129162 -26.2792522568863,-58.2777912542224 -26.278510614439)))","5","12000","SÍ, SÓLO EN UN SECTOR DEL BARRIO",SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Formosa,Formosa,Villa del Carmen
"MULTIPOLYGON (((-58.2586671039462 -26.2812715325458,-58.258801214397 -26.2807201959174,-58.2575720921159 -26.2802891053654,-58.2572696730494 -26.2807424418299,-58.2586671039462 -26.2812715325458)))","6","11931","SÍ, SÓLO EN UN SECTOR DEL BARRIO",SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Formosa,Formosa,Villa del Carmen
"MULTIPOLYGON (((-58.267901 -26.276891,-58.272224 -26.275756,-58.270066 -26.273426,-58.268967 -26.274203,-58.268222 -26.273286,-58.267544 -26.273559,-58.267274 -26.274216,-58.267443 -26.27448,-58.267447 -26.27447,-58.268625 -26.27485,-58.267901 -26.276891)))","7","18586","SÍ, TODO EL BARRIO",OCASIONALMENTE (ALGUNAS VECES POR AÑO),Formosa,Formosa,Villa del Carmen
"MULTIPOLYGON (((-58.2627455692526 -26.2520651802638,-58.2625992306699 -26.2517998325961,-58.2610621319118 -26.2525852411159,-58.261643 -26.253372,-58.2619701486034 -26.2532468417683,-58.2621927604875 -26.2525215358402,-58.2626000076847 -26.2522577174792,-58.2627455692526 -26.2520651802638)))","8","22831","SÍ, TODO EL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Formosa,Formosa,Villa del Carmen
"MULTIPOLYGON (((-58.224407248199 -26.1953414766015,-58.2242637500167 -26.1956326906599,-58.2269359007478 -26.1965189636753,-58.2270220667124 -26.1961736007904,-58.2261724770069 -26.1955502603081,-58.2249440252781 -26.1949729453702,-58.2247515767813 -26.1953697556845,-58.224407248199 -26.1953414766015)))","9","12164","SÍ, SÓLO EN UN SECTOR DEL BARRIO",OCASIONALMENTE (ALGUNAS VECES POR AÑO),Formosa,Formosa,Formosa
"MULTIPOLYGON (((-58.246401026845 -26.1951363026231,-58.2461971789598 -26.1955003207236,-58.2468663901091 -26.1957033881778,-58.2469860836864 -26.1953450866976,-58.246401026845 -26.1951363026231)))","10","12189","SÍ, SÓLO EN UN SECTOR DEL BARRIO",OCASIONALMENTE (ALGUNAS VECES POR AÑO),Formosa,Formosa,Formosa
"MULTIPOLYGON (((-58.2475060969591 -26.1947593471431,-58.2475594058633 -26.1945544729826,-58.2463450357318 -26.19418864686,-58.2462384179235 -26.1943417765199,-58.2475060969591 -26.1947593471431)))","11","12188","SÍ, SÓLO EN UN SECTOR DEL BARRIO",OCASIONALMENTE (ALGUNAS VECES POR AÑO),Formosa,Formosa,Formosa
"MULTIPOLYGON (((-58.1931152663492 -26.1647505829365,-58.1931428012514 -26.164592605079,-58.193271436136 -26.1645080615139,-58.193233 -26.164318,-58.1922918747881 -26.1644930896911,-58.1921193851897 -26.1644899844828,-58.1920137914682 -26.1646687336507,-58.1913517336507 -26.1645208919444,-58.191284026302 -26.1647268947916,-58.1904291582936 -26.1648813090078,-58.1903358553385 -26.165005013151,-58.189634 -26.165061,-58.1889494170634 -26.165243050238,-58.1887976255951 -26.1656173165873,-58.1889912085317 -26.1656968995238,-58.1891922085317 -26.1656968995238,-58.1892580578175 -26.1655797914682,-58.1894140578175 -26.1655477914682,-58.1895666331746 -26.1655966331746,-58.1896486331746 -26.1654577914682,-58.1901144900398 -26.1655673241667,-58.189922 -26.166048,-58.190097050238 -26.1661237914682,-58.190244640754 -26.1660867914683,-58.1903614748809 -26.1661071080555,-58.1903969497619 -26.1660735829365,-58.1910319605469 -26.1662501183593,-58.1913153472351 -26.1656459992433,-58.1915295829365 -26.1651336331746,-58.1931152663492 -26.1647505829365)))","12","19778","SÍ, TODO EL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Formosa,Formosa,Formosa
"MULTIPOLYGON (((-58.1661792663755 -26.1742226943231,-58.1660803364231 -26.1743022053178,-58.1656917379912 -26.1748111834061,-58.165587 -26.175366,-58.166513441048 -26.1756212882096,-58.1668789694323 -26.1747238078602,-58.1664601921397 -26.174608231441,-58.1663454890829 -26.1742710480349,-58.1661792663755 -26.1742226943231)))","13","21396","SÍ, TODO EL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Formosa,Formosa,Formosa
"MULTIPOLYGON (((-58.1600401903696 -26.1374161053236,-58.1506789216152 -26.1343720351072,-58.149383 -26.137998,-58.158568310917 -26.1410315777292,-58.1600401903696 -26.1374161053236)))","14","19788","SÍ, SÓLO EN UN SECTOR DEL BARRIO",OCASIONALMENTE (ALGUNAS VECES POR AÑO),Formosa,Formosa,Formosa
"MULTIPOLYGON (((-58.1809691702764 -26.1508882592689,-58.1805683655021 -26.1507473884279,-58.1799013655021 -26.151275121834,-58.179767 -26.15186,-58.179963 -26.152137,-58.1805798045851 -26.152538121834,-58.1798592689956 -26.1536444873362,-58.1805202558719 -26.1538960509393,-58.1809691702764 -26.1508882592689)))","15","19785","SÍ, SÓLO EN UN SECTOR DEL BARRIO","Otro, especificar",Formosa,Formosa,Formosa
"MULTIPOLYGON (((-58.2159529699776 -26.2073115145922,-58.2155741925764 -26.2081823209607,-58.215131 -26.208182,-58.214368 -26.210104,-58.214669762693 -26.2113480808555,-58.2150120322703 -26.2118563311803,-58.215243 -26.211913,-58.216022 -26.211006,-58.216096 -26.208478,-58.216032 -26.207354,-58.2159529699776 -26.2073115145922)))","16","22888","SÍ, TODO EL BARRIO",SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Formosa,Formosa,Formosa
"MULTIPOLYGON (((-58.1685116887093 -26.1966714885955,-58.1694334138298 -26.1970574196841,-58.1695719381943 -26.196793832969,-58.1689990971154 -26.1960826199475,-58.1688032613056 -26.195903861605,-58.1685116887093 -26.1966714885955)))","17","17345","SÍ, SÓLO EN UN SECTOR DEL BARRIO",OCASIONALMENTE (ALGUNAS VECES POR AÑO),Formosa,Formosa,Formosa
"MULTIPOLYGON (((-58.1700064248908 -26.1960414921397,-58.1709200293767 -26.196823059639,-58.1709952575201 -26.1965558135465,-58.1707268580794 -26.1961387034384,-58.1700064248908 -26.1960414921397)))","18","17332","SÍ, SÓLO EN UN SECTOR DEL BARRIO",OCASIONALMENTE (ALGUNAS VECES POR AÑO),Formosa,Formosa,Formosa
"MULTIPOLYGON (((-58.1726490829694 -26.198203,-58.1727603077888 -26.1974972857301,-58.1720912986884 -26.1973352800215,-58.172051642358 -26.1975713419213,-58.1726490829694 -26.198203)))","19","17333","SÍ, SÓLO EN UN SECTOR DEL BARRIO",OCASIONALMENTE (ALGUNAS VECES POR AÑO),Formosa,Formosa,Formosa
"MULTIPOLYGON (((-58.182473276819 -26.2003952931156,-58.1815989579421 -26.2000390891288,-58.1812427539553 -26.2008615965166,-58.1803684350785 -26.2005960626355,-58.1802065241754 -26.1999289897146,-58.1795070690739 -26.1995468799833,-58.179358111043 -26.1994367805692,-58.1792026765761 -26.1996569793974,-58.1792026765761 -26.201664674596,-58.1815341935809 -26.2022540302834,-58.182473276819 -26.2003952931156)))","20","13403","SÍ, SÓLO EN UN SECTOR DEL BARRIO","Otro, especificar",Formosa,Formosa,Formosa
"MULTIPOLYGON (((-58.177775 -26.199471,-58.177744 -26.199616,-58.177602 -26.19963,-58.175466 -26.198911,-58.1752570312227 -26.19925180131,-58.1750774552529 -26.1998808557882,-58.1750189886463 -26.2005140454148,-58.175562 -26.20075,-58.176174 -26.20102,-58.17669 -26.201229,-58.177794 -26.201441,-58.1784111084333 -26.2015411399444,-58.178475840897 -26.2014272842645,-58.1786446871276 -26.2009943126371,-58.1787706106701 -26.2005933102846,-58.1792419047153 -26.1992676107784,-58.1789810056768 -26.1991969929039,-58.178201 -26.201165,-58.175329 -26.200392,-58.175554 -26.199703,-58.175913 -26.199806,-58.176403 -26.199864,-58.176678 -26.199855,-58.176877 -26.1998530056768,-58.1773709971616 -26.1999590141921,-58.1777040113536 -26.2000080340611,-58.1779300170305 -26.2000310028384,-58.17807 -26.199557,-58.177775 -26.199471)))","21","18687","SÍ, TODO EL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Formosa,Formosa,Formosa
"MULTIPOLYGON (((-58.1595420464873 -26.154076488539,-58.1575049087405 -26.1535158213289,-58.1572836264968 -26.154076488539,-58.1591903418303 -26.1548101971145,-58.1595420464873 -26.154076488539)))","22","12042","SÍ, SÓLO EN UN SECTOR DEL BARRIO",OCASIONALMENTE (ALGUNAS VECES POR AÑO),Formosa,Formosa,Formosa
"MULTIPOLYGON (((-58.1938582234864 -26.1580209892102,-58.1956022877348 -26.1587771176876,-58.1960650027662 -26.1578051497248,-58.1959583547494 -26.1575358928989,-58.1961523854906 -26.157320251315,-58.1962699385178 -26.1571527591601,-58.1961654525052 -26.1569770103815,-58.1960214525052 -26.1568730103816,-58.1958759050104 -26.1568305077722,-58.1956836787578 -26.1567960103548,-58.1955087765136 -26.1567183795169,-58.1956714525052 -26.156502600035,-58.1956850027662 -26.156211610406,-58.1957302597599 -26.1558398718638,-58.1956116787578 -26.1556968818702,-58.1951172262526 -26.1556060099632,-58.1948495474947 -26.1556256405851,-58.19456074024 -26.1558993118396,-58.194361030741 -26.1564524308506,-58.1938582234864 -26.1580209892102)))","23","18689","SÍ, TODO EL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Formosa,Formosa,Formosa
"MULTIPOLYGON (((-57.7276584506035 -25.3184555880867,-57.7276105061173 -25.3184713477843,-57.728090621531 -25.321095914962,-57.7288054302335 -25.3211050068972,-57.7284607663751 -25.3183113261444,-57.7276584506035 -25.3184555880867)))","24","14133","SÍ, SÓLO EN UN SECTOR DEL BARRIO","Otro, especificar",Formosa,Pilcomayo,Clorinda
"MULTIPOLYGON (((-57.7153209596872 -25.3021947308021,-57.7148431912064 -25.3006603691234,-57.7132596820593 -25.3008613346288,-57.7133780345321 -25.3023584110673,-57.7153209596872 -25.3021947308021)))","25","14259","SÍ, SÓLO EN UN SECTOR DEL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Formosa,Pilcomayo,Clorinda
"MULTIPOLYGON (((-57.7064052969217 -25.3011047358432,-57.7047342807055 -25.3012869075405,-57.7035457268357 -25.3024526786753,-57.7030532062054 -25.3030401066832,-57.7000856772065 -25.3045629202114,-57.6997208967805 -25.3055425544685,-57.6995884627104 -25.3060357027516,-57.6989437267184 -25.3067992147882,-57.6987730711699 -25.3075184696424,-57.6982510462403 -25.308850277093,-57.6984498649836 -25.3092870364308,-57.6986567303538 -25.3098904952154,-57.69884750247 -25.310479402623,-57.6992421224713 -25.3111913614876,-57.6995043084025 -25.3119493854628,-57.6998707652092 -25.3125376766904,-57.7003357931972 -25.3126528492908,-57.7010107040405 -25.312700433728,-57.7015927433968 -25.3124391737216,-57.7018887922168 -25.3128295480938,-57.7021935582161 -25.3130835332289,-57.7021928876638 -25.3136712127826,-57.7022810652852 -25.3139979359222,-57.7024637907743 -25.3137751702408,-57.7025197818875 -25.3132690208431,-57.7021600306034 -25.3125607112192,-57.7012641727924 -25.3120836531095,-57.6994851976633 -25.3107294525094,-57.6990661025047 -25.3090527444905,-57.6990744844079 -25.3080052448413,-57.6993976905942 -25.3070759450372,-57.6997731998563 -25.3059114307858,-57.7001681551337 -25.3051670087324,-57.7007890865207 -25.3046277848532,-57.7016222476959 -25.3042240473595,-57.7027662098408 -25.3036445059032,-57.7037971839309 -25.3026581878687,-57.7064052969217 -25.3011047358432)))","26","14277","SÍ, SÓLO EN UN SECTOR DEL BARRIO","Otro, especificar",Formosa,Pilcomayo,Clorinda
"MULTIPOLYGON (((-57.7313378869653 -25.2700646637957,-57.7313674296263 -25.2706306772567,-57.730685 -25.271959,-57.730701 -25.271924,-57.730066 -25.272695,-57.729549 -25.273307,-57.728816 -25.273796,-57.729142 -25.274131,-57.729776 -25.274804,-57.730107 -25.274952,-57.730349 -25.275412,-57.730111 -25.276002,-57.729569 -25.276036,-57.729114 -25.276216,-57.728389 -25.276043,-57.727747 -25.27622,-57.7277488793522 -25.2762996237406,-57.7259932422609 -25.2771052174742,-57.7255729064762 -25.277502428573,-57.7256329459049 -25.2781354830046,-57.726828206821 -25.2780311630529,-57.7267761802765 -25.2772684841928,-57.7270850680503 -25.2771896796094,-57.7273280735137 -25.2768604846547,-57.727852 -25.276836,-57.732608 -25.276416,-57.732088 -25.271359,-57.7318203660963 -25.2694786356317,-57.7308188424905 -25.2696364214773,-57.7312490179709 -25.2699481275566,-57.7313378869653 -25.2700646637957)))","27","18723","SÍ, TODO EL BARRIO",SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Formosa,Pilcomayo,Clorinda
"MULTIPOLYGON (((-57.7029177971615 -25.3236814412663,-57.7015559912663 -25.3242095039301,-57.6999434995633 -25.3249990313318,-57.7005412497816 -25.326269812882,-57.7017617117623 -25.3262321171158,-57.7019992497816 -25.3265324046943,-57.7035072497816 -25.3289834046943,-57.7040291409645 -25.32977156652,-57.7046037502183 -25.3288353751091,-57.705096 -25.328615,-57.70555 -25.327894,-57.705617 -25.327383,-57.7063371606314 -25.3264130540192,-57.706044 -25.325381,-57.705605 -25.3238351253274,-57.7054551871179 -25.3233955935589,-57.7030133480349 -25.3240404491266,-57.7029177971615 -25.3236814412663)))","28","18724","SÍ, TODO EL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Formosa,Pilcomayo,Clorinda
"MULTIPOLYGON (((-57.7344655618072 -25.2649987236609,-57.7351974695921 -25.2661163312942,-57.7355612441897 -25.2664759283069,-57.7358576282859 -25.2664756251058,-57.7359722927213 -25.2666296511568,-57.7367420867086 -25.2664816891273,-57.7366334572434 -25.265250080154,-57.7360950037837 -25.2651418362274,-57.7355575561524 -25.2648480307973,-57.7356229349971 -25.2635490930067,-57.7348353713751 -25.2634990636122,-57.734969817102 -25.2642385869259,-57.7345165237784 -25.2645684753316,-57.7344655618072 -25.2649987236609)))","29","12409","SÍ, SÓLO EN UN SECTOR DEL BARRIO",OCASIONALMENTE (ALGUNAS VECES POR AÑO),Formosa,Pilcomayo,Clorinda
"MULTIPOLYGON (((-57.7111303958357 -25.2949699045505,-57.706405 -25.295361,-57.705979539416 -25.2954353623675,-57.7060950539819 -25.2957624137184,-57.7067193483333 -25.297205035135,-57.707432 -25.298615,-57.709087 -25.298497,-57.709192 -25.299553,-57.711552 -25.299353,-57.7117100579828 -25.3007642256633,-57.7129745196506 -25.3006862401746,-57.7129741659388 -25.3005895196506,-57.7133227206996 -25.3005665326735,-57.7132593478471 -25.2999435467348,-57.7133890699144 -25.2997188094259,-57.7133984844701 -25.2994300457804,-57.7135090805021 -25.2993527884492,-57.7134010708531 -25.2991130490447,-57.7134822749027 -25.2989470975661,-57.7135709215681 -25.2989143645513,-57.7136598873805 -25.2989361431508,-57.713780643376 -25.2990768892955,-57.7139377593851 -25.2989792164112,-57.71365542032 -25.2985525532721,-57.7138300781862 -25.2984164344692,-57.7140786162171 -25.2983809081593,-57.7140461990855 -25.2981549362313,-57.7140905220588 -25.2981385695672,-57.7140283228706 -25.2977572782083,-57.7139534375176 -25.2974850746494,-57.7139234168198 -25.2969098026329,-57.7119219499853 -25.2970285038253,-57.7119215077757 -25.2969527931288,-57.7113587143148 -25.2969888223236,-57.7111303958357 -25.2949699045505)))","30","16514","SÍ, TODO EL BARRIO",SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Formosa,Pilcomayo,Clorinda
"MULTIPOLYGON (((-59.0997915651527 -25.7268525396467,-59.0975966325811 -25.7241858891102,-59.0955749841599 -25.7255432816216,-59.0977207571268 -25.7283283023228,-59.0997915651527 -25.7268525396467)))","31","13730","SÍ, SÓLO EN UN SECTOR DEL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Formosa,Pirané,Pirané
"MULTIPOLYGON (((-59.1132232090611 -25.7285028362445,-59.112076 -25.727064,-59.113987 -25.725821,-59.114411 -25.7263125818777,-59.1153268640829 -25.7256552543668,-59.1160640627729 -25.726544271834,-59.1171393381236 -25.7258256891929,-59.1167901071855 -25.7253803007723,-59.117037 -25.724688,-59.117346840258 -25.7243045657372,-59.1181439825327 -25.7235423449781,-59.1181969546943 -25.7233317909388,-59.1168703579388 -25.7221725523488,-59.117819536572 -25.7209723728166,-59.115429 -25.7189254634279,-59.1134907177947 -25.72019,-59.1142364181222 -25.7212965818777,-59.1149390453056 -25.7212335818777,-59.115207672489 -25.7215975818777,-59.115041 -25.722507,-59.114477 -25.723614,-59.1131719443231 -25.7248495644104,-59.112826 -25.724953,-59.1126024047489 -25.724878041048,-59.1091806053493 -25.7271529831877,-59.1105760453056 -25.7289032090611,-59.1114925818777 -25.7282731637554,-59.11224 -25.729175,-59.1132232090611 -25.7285028362445)))","32","22903","SÍ, TODO EL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Formosa,Pirané,Pirané
"MULTIPOLYGON (((-59.117157 -25.725857,-59.116069 -25.726578,-59.1151 -25.727217,-59.113279 -25.728476,-59.11392 -25.729331,-59.112036 -25.730602,-59.112719 -25.731477,-59.114065 -25.730564,-59.113761 -25.730211,-59.114288 -25.729855,-59.114599 -25.730214,-59.118618 -25.727446,-59.117832 -25.726743,-59.117157 -25.725857)))","33","20679","SÍ, TODO EL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Formosa,Pirané,Pirané
"MULTIPOLYGON (((-59.121112482093 -25.7272168979251,-59.1202227208019 -25.7278659376628,-59.121902446203 -25.7301501559427,-59.1225866112319 -25.7289973105521,-59.121112482093 -25.7272168979251)))","34","16543","SÍ, SÓLO EN UN SECTOR DEL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Formosa,Pirané,Pirané
"MULTIPOLYGON (((-59.1166310012341 -25.734175306185,-59.1174118593335 -25.7336138444075,-59.1166980564594 -25.7330100963742,-59.1159299388528 -25.7334785374611,-59.1166310012341 -25.734175306185)))","35","16544","SÍ, SÓLO EN UN SECTOR DEL BARRIO",NS/NC,Formosa,Pirané,Pirané
"MULTIPOLYGON (((-59.1175081009983 -25.732118803438,-59.1184830024798 -25.7331868483731,-59.1194996021972 -25.7324256250235,-59.1186196128785 -25.7314667992625,-59.1175081009983 -25.732118803438)))","36","14035","SÍ, SÓLO EN UN SECTOR DEL BARRIO",OCASIONALMENTE (ALGUNAS VECES POR AÑO),Formosa,Pirané,Pirané
"MULTIPOLYGON (((-59.123248165436 -25.7353335558544,-59.124238758874 -25.7346547442847,-59.1220948214527 -25.7320788892863,-59.1211636899289 -25.7326834615378,-59.123248165436 -25.7353335558544)))","37","16606","SÍ, SÓLO EN UN SECTOR DEL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Formosa,Pirané,Pirané
"MULTIPOLYGON (((-59.1246862142628 -25.7343901248571,-59.1232781482864 -25.7353131723802,-59.1244906915536 -25.7368489993234,-59.1256254043668 -25.7364422021834,-59.126708537929 -25.7357733621186,-59.1276233296943 -25.7351225956332,-59.126287 -25.733408,-59.1272255264192 -25.732646803275,-59.126927930786 -25.7322857340611,-59.1259259362445 -25.7328896648471,-59.1261952896288 -25.7333973697598,-59.1246862142628 -25.7343901248571)))","38","20701","SÍ, TODO EL BARRIO",OCASIONALMENTE (ALGUNAS VECES POR AÑO),Formosa,Pirané,Pirané
"MULTIPOLYGON (((-59.121624796018 -25.74164378252,-59.1251118239662 -25.7462112980015,-59.1268962654984 -25.7450980684217,-59.1231800432249 -25.7405305529402,-59.121624796018 -25.74164378252)))","39","13737","SÍ, SÓLO EN UN SECTOR DEL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Formosa,Pirané,Pirané
"MULTIPOLYGON (((-59.1238179802895 -25.7377992229467,-59.1252078234781 -25.7394117369151,-59.1260347425304 -25.7388598931165,-59.124686225752 -25.7372228690658,-59.1238179802895 -25.7377992229467)))","40","16546","SÍ, SÓLO EN UN SECTOR DEL BARRIO",SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Formosa,Pirané,Pirané
"MULTIPOLYGON (((-59.1152362525463 -25.750099903331,-59.1165398061275 -25.751470593369,-59.1204782947898 -25.7487874807306,-59.1201715171337 -25.7484063741664,-59.1184812058626 -25.746207323144,-59.1168384444203 -25.7470351714298,-59.1157906989336 -25.7485227113185,-59.1152362525463 -25.750099903331)))","41","13726","SÍ, SÓLO EN UN SECTOR DEL BARRIO",SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Formosa,Pirané,Pirané
"MULTIPOLYGON (((-61.8526934035995 -23.8871537901521,-61.8504524924993 -23.8828914767486,-61.8501196613644 -23.8815851807471,-61.8477959698999 -23.8820303979768,-61.8487818364839 -23.8862297421647,-61.8491862039245 -23.8879076746239,-61.849462682512 -23.8889662629268,-61.8501898686967 -23.8904347293753,-61.8526170866084 -23.8892450288695,-61.8546305329985 -23.8882676280533,-61.8544423481209 -23.8880162735925,-61.8536097284347 -23.8867300603925,-61.8526934035995 -23.8871537901521)))","42","18738","SÍ, TODO EL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Formosa,Matacos,Ingeniero Juárez
"MULTIPOLYGON (((-61.8573560938239 -23.8852521668531,-61.8543479964137 -23.8817330883095,-61.8516148254275 -23.883141160406,-61.8538273125887 -23.8868766312283,-61.8573560938239 -23.8852521668531)))","43","14260","SÍ, SÓLO EN UN SECTOR DEL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Formosa,Matacos,Ingeniero Juárez
"MULTIPOLYGON (((-61.8501241000153 -23.890299343845,-61.849462682512 -23.8889662629268,-61.8487818364839 -23.8862297421647,-61.8486844223205 -23.886257011127,-61.8486032369614 -23.8858155613814,-61.8458283399084 -23.8870564868887,-61.8456155962317 -23.88688707817,-61.8400810557748 -23.8894710429193,-61.8421751723687 -23.8949533462862,-61.842921 -23.896655,-61.8446426008705 -23.8943145794108,-61.8456790537945 -23.8926729539141,-61.8462655111303 -23.8921095248381,-61.8471101072983 -23.8916053132908,-61.8479727565667 -23.8911958683891,-61.8486192175965 -23.8908363422776,-61.8489529458196 -23.8908437056035,-61.8501241000153 -23.890299343845)))","44","18828","SÍ, TODO EL BARRIO",OCASIONALMENTE (ALGUNAS VECES POR AÑO),Formosa,Matacos,Ingeniero Juárez
"MULTIPOLYGON (((-61.8644881730915 -23.8912178337786,-61.8648713683205 -23.8919987759542,-61.863633 -23.892676,-61.8641886578266 -23.8936844199385,-61.864963114797 -23.8937658156918,-61.86521 -23.894018,-61.86595 -23.893563,-61.867086 -23.892745,-61.867439 -23.892248,-61.867306 -23.892066,-61.867075 -23.891898,-61.866932 -23.891611,-61.866723 -23.89151,-61.866746 -23.891109,-61.866744 -23.890695,-61.866593 -23.890387,-61.8644881730915 -23.8912178337786)))","45","18835","SÍ, TODO EL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Formosa,Matacos,Ingeniero Juárez
"MULTIPOLYGON (((-61.8546183286824 -23.8882980381071,-61.8557154909832 -23.8902758176253,-61.8603934729498 -23.8880368176253,-61.8594955444011 -23.8865243340763,-61.8594852569273 -23.8861887118216,-61.8593086913913 -23.8860397835988,-61.8546183286824 -23.8882980381071)))","46","18857","SÍ, TODO EL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Formosa,Matacos,Ingeniero Juárez
"MULTIPOLYGON (((-61.8618139031332 -23.9078780655663,-61.8588392710685 -23.9026390145157,-61.8599193458063 -23.9021324220841,-61.8588906855533 -23.9004255786116,-61.860003 -23.899823,-61.860961 -23.89931,-61.861988 -23.898357,-61.862394 -23.897801,-61.863461 -23.89702,-61.867754 -23.89483,-61.8693436406906 -23.8937776135184,-61.871288434462 -23.8928214498718,-61.8708361667899 -23.8921884553042,-61.8653585059499 -23.8948071702268,-61.8651770856943 -23.894449383297,-61.855495 -23.899067,-61.8557622066925 -23.8995868218932,-61.8567558482136 -23.8991174593597,-61.8572898952429 -23.8999841907123,-61.8562345006625 -23.9004965711834,-61.859037 -23.905271,-61.8608735101921 -23.9083502293861,-61.8618139031332 -23.9078780655663)))","47","18860","SÍ, TODO EL BARRIO",OCASIONALMENTE (ALGUNAS VECES POR AÑO),Formosa,Matacos,Ingeniero Juárez
"MULTIPOLYGON (((-60.6013587489724 -24.7007518274451,-60.6042042374611 -24.7042583248222,-60.6122723221779 -24.6979884722674,-60.6100682169199 -24.6952177450872,-60.6026663258672 -24.6951964221897,-60.6003452092409 -24.6962933282259,-60.603063639464 -24.6993154524773,-60.6013587489724 -24.7007518274451)))","48","12430","SÍ, SÓLO EN UN SECTOR DEL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Formosa,Patiño,Las Lomitas
"MULTIPOLYGON (((-60.5918278545141 -24.692778686561,-60.6001960113645 -24.6910767699367,-60.6004947423935 -24.6904507682668,-60.5914422869682 -24.6921118743151,-60.5918278545141 -24.692778686561)))","49","12583","SÍ, SÓLO EN UN SECTOR DEL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Formosa,Patiño,Las Lomitas
